,loss,mae
0,7.146248390199617e-05,0.004284069873392582
1,6.473720713984221e-05,0.0037696638610213995
2,6.121169280959293e-05,0.003613924840465188
3,5.834763214807026e-05,0.0035298841539770365
4,5.698228778783232e-05,0.0034857913851737976
5,5.47587223991286e-05,0.003376287641003728
6,5.371597580960952e-05,0.003295720089226961
7,5.386698103393428e-05,0.0033584516495466232
8,5.4522508435184136e-05,0.003268243744969368
9,5.292253626976162e-05,0.0032069215085357428
10,5.2455106924753636e-05,0.0031505159568041563
11,5.211090319789946e-05,0.003152490360662341
12,5.093080471851863e-05,0.003059904556721449
13,5.061069532530382e-05,0.003024775069206953
14,5.035863068769686e-05,0.003038044786080718
15,5.013282861909829e-05,0.0030142059549689293
16,5.023286212235689e-05,0.0029800739139318466
17,5.00000714964699e-05,0.0029499726369976997
18,5.012556357542053e-05,0.0029608160257339478
19,4.905908281216398e-05,0.0028664576821029186
20,4.880835331277922e-05,0.0029341981280595064
21,4.861770139541477e-05,0.002818949054926634
22,4.891513890470378e-05,0.002869866555556655
23,4.969640576746315e-05,0.0028812179807573557
24,4.8140125727513805e-05,0.0027843895368278027
25,4.806736978935078e-05,0.0027699884958565235
26,4.802121839020401e-05,0.0027698781341314316
27,4.822937989956699e-05,0.002807467710226774
28,5.016095019527711e-05,0.0029131679330021143
29,4.998425720259547e-05,0.002835044404491782
30,4.679571429733187e-05,0.002567676594480872
31,4.715080285677686e-05,0.0026213109958916903
32,4.6706354623893276e-05,0.0025727362371981144
33,4.714095121016726e-05,0.0026193836238235235
34,4.748542414745316e-05,0.00259942258708179
35,4.6799133997410536e-05,0.0026563103310763836
36,4.707844345830381e-05,0.00264947023242712
37,4.7624966100556776e-05,0.0025830757804214954
38,4.7260691644623876e-05,0.002682710997760296
39,4.7463450755458325e-05,0.0026268388610333204
40,4.7833567805355415e-05,0.002595724770799279
41,4.5950648200232536e-05,0.0024545679334551096
42,4.635009099729359e-05,0.002479911781847477
43,4.5944114390295e-05,0.002497841138392687
44,4.553391408990137e-05,0.00240290816873312
45,4.544178591459058e-05,0.0024421389680355787
46,4.522232848103158e-05,0.0023508055601269007
47,4.717874980997294e-05,0.0025780722498893738
48,4.5261491322889924e-05,0.0023290878161787987
49,4.507694029598497e-05,0.002350206719711423
50,4.4832067942479625e-05,0.002373538911342621
51,4.5580058213090524e-05,0.002444901503622532
52,4.661734419642016e-05,0.0024801588151603937
53,4.488759805099107e-05,0.002343187341466546
54,4.448613617569208e-05,0.002374110044911504
55,4.443728175829165e-05,0.0022699858527630568
56,4.43963217549026e-05,0.002274856436997652
57,4.523850293480791e-05,0.002484962111338973
58,4.4585227442439646e-05,0.002334249671548605
59,4.482580698095262e-05,0.0023181650321930647
60,4.49746657977812e-05,0.0023337462916970253
61,4.4851294660475105e-05,0.0024212098214775324
62,4.5198117732070386e-05,0.0024943924508988857
63,4.486088073463179e-05,0.0024459105916321278
64,4.432071727933362e-05,0.002343455096706748
65,4.501060175243765e-05,0.00241757370531559
66,4.459152478375472e-05,0.0023832558654248714
67,4.3922987970290706e-05,0.0023663777392357588
68,4.419085234985687e-05,0.002323897322639823
69,4.437927054823376e-05,0.0023371062707155943
70,4.446661114343442e-05,0.0024602077901363373
71,4.497245390666649e-05,0.0025173528119921684
72,4.5687458623433486e-05,0.002593846758827567
73,4.4385607907315716e-05,0.0022975977044552565
74,4.396928125061095e-05,0.002306526992470026
75,4.609387178788893e-05,0.002731065731495619
76,4.830101897823624e-05,0.00307193654589355
77,4.58746035292279e-05,0.002796777756884694
78,4.502680167206563e-05,0.0024831427726894617
79,4.467120015760884e-05,0.0024776365607976913
80,4.3744596041506156e-05,0.002377171767875552
81,4.5086024329066277e-05,0.0025681466795504093
82,4.42083110101521e-05,0.0024220929481089115
83,4.4886193791171536e-05,0.002560280729085207
84,4.372251714812592e-05,0.002357229357585311
85,4.3944764911429957e-05,0.0024039135314524174
86,4.3940839532297105e-05,0.002429845742881298
87,4.3079529859824106e-05,0.002381248865276575
88,4.489496859605424e-05,0.002502038376405835
89,4.404977516969666e-05,0.002457555616274476
90,4.465403617359698e-05,0.0025384218897670507
91,4.4031843572156504e-05,0.0024675524327903986
92,4.44585966761224e-05,0.002560896100476384
93,4.318401624914259e-05,0.0023104946594685316
94,4.4288575736572966e-05,0.0024791941978037357
95,4.455956513993442e-05,0.0024919009301811457
96,4.417220770847052e-05,0.002463935175910592
97,4.6665474656037986e-05,0.002868579002097249
98,4.4707805500365794e-05,0.0025608434807509184
99,4.3782412831205875e-05,0.0025623312685638666
